marca,id,name,img_url,family_unificada,family_original
bershka,226931563,Vestido midi espalda abierta,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931563.jpg,Vestidos,vestidos
bershka,226927205,Vestido mini mesh brillos,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927205.jpg,Vestidos,vestidos
bershka,232962095,Vestido halter midi,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/232962095.jpg,Vestidos,vestidos
bershka,226931732,Vestido mini punto falda vuelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931732.jpg,Vestidos,vestidos
bershka,229723099,Vestido midi halter con lino,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723099.jpg,Vestidos,vestidos
bershka,229089084,Vestido mini cuello halter,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229089084.jpg,Vestidos,vestidos
bershka,227382004,Vestido mini bandeau,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227382004.jpg,Vestidos,vestidos
bershka,226926598,Vestido mini satén jacquard,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926598.jpg,Vestidos,vestidos
bershka,229723103,Vestido midi tirantes encaje,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723103.jpg,Vestidos,vestidos
bershka,235500690,Camiseta manga corta DALLAS COWBOY CHEERLEADERS,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/235500690.jpg,Camisetas,camisetas
bershka,226926723,Vestido mini tirantes lentejuelas falda vuelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926723.jpg,Vestidos,vestidos
bershka,226926694,Vestido midi tirantes print,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926694.jpg,Vestidos,vestidos
bershka,226931715,Vestido largo halter asimétrico,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931715.jpg,Vestidos,vestidos
bershka,235545140,Vestido largo tirantes,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/235545140.jpg,Vestidos,vestidos
bershka,234583828,Vestido largo tirantes tul,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/234583828.jpg,Vestidos,vestidos
bershka,233009528,Vestido mini abertura escote,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/233009528.jpg,Vestidos,vestidos
bershka,229730710,Vestido midi rústico tirantes,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730710.jpg,Vestidos,vestidos
bershka,229730486,Vestido mini tachas,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730486.jpg,Vestidos,vestidos
bershka,229465990,Vestido mini tul animal print,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229465990.jpg,Vestidos,vestidos
bershka,228741267,Vestido denim mini alamares,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/228741267.jpg,Vestidos,vestidos
bershka,226931768,Vestido midi tirantes tul flocado,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931768.jpg,Vestidos,vestidos
bershka,226931630,Vestido midi halter,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931630.jpg,Vestidos,vestidos
bershka,226931617,Vestido mini tirantes lazos,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931617.jpg,Vestidos,vestidos
bershka,226931509,Vestido mini halter ED HARDY X BERSHKA,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931509.jpg,Vestidos,vestidos
bershka,226931485,Vestido midi tirantes lentejuelas,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931485.jpg,Vestidos,vestidos
bershka,226927363,Vestido mini sarga,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927363.jpg,Vestidos,vestidos
bershka,226927054,Vestido mini romántico tirantes encaje,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927054.jpg,Vestidos,vestidos
bershka,226926930,Vestido mini tirantes tul,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926930.jpg,Vestidos,vestidos
bershka,226926925,Vestido midi rústico crochet,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926925.jpg,Vestidos,vestidos
bershka,226926910,Vestido midi tirantes espalda corsé,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926910.jpg,Vestidos,vestidos
bershka,226926752,Vestido mini rústico brillo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926752.jpg,Vestidos,vestidos
bershka,226926593,Cazadora efecto ante cuello chimenea,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926593.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927090,Cazadora trench,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927090.jpg,Chaquetas y Cazadoras,cazadora
bershka,228237709,Cazadora oversize bolsillos MARINA SENA,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/228237709.jpg,Chaquetas y Cazadoras,cazadora
bershka,231058743,Cazadora cuello chimenea cuadros,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/231058743.jpg,Chaquetas y Cazadoras,cazadora
bershka,229730572,Blazer pinzas espalda,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730572.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927278,Cazadora pelo capucha,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927278.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927267,Cazadora capucha pelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927267.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926941,Cazadora doble faz corta biker,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926941.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926826,Cazadora pelo solapa,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926826.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926679,Cazadora nylon alamares,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926679.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931530,Cazadora nylon oversize manga murciélago,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931530.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927314,Cazadora frunces piping contraste,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927314.jpg,Chaquetas y Cazadoras,cazadora
bershka,229723218,Cazadora trench corta efecto piel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723218.jpg,Chaquetas y Cazadoras,cazadora
bershka,229723119,Cazadora efecto piel globo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723119.jpg,Chaquetas y Cazadoras,cazadora
bershka,227263453,Chaqueta denim oversize,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227263453.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926632,Cazadora trench cuello funnel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926632.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926687,Cazadora ligera cuadros,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926687.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931347,Blazer entallada cuadros,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931347.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926649,Cazadora efecto piel botones,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926649.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931603,Cazadora nylon cuadros,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931603.jpg,Chaquetas y Cazadoras,cazadora
bershka,229723172,Cazadora acolchada,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723172.jpg,Chaquetas y Cazadoras,cazadora
